ID;TYPE;FRACTURE;FINECRAZING;DEEPCRACKING;COLORCHANGES;CARBONDEPOSITION;CONCRETIONS;WEIGHT
A1-3817;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;8
A1-3814;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;17
A1-3801;FCR;SMOOTH;FALSE;TRUE;DISCOLORATION;TRUE;FALSE;51
A6-5603;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;17
A1-3808;PEBBLE;;FALSE;TRUE;NA;TRUE;FALSE;24
A6-5545;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;17
A6-5541;FCR;SMOOTH;FALSE;FALSE;REDDENING;TRUE;FALSE;38
A1-3104;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;15
A1-3167;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;20
A1-3803;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;33
A1-3812;FCR;JAGGED;NA;FALSE;NA;TRUE;TRUE;20
A6-5600;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;34
A6-5598;FCR;SMOOTH;NA;FALSE;NA;TRUE;TRUE;9
A1-3393;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;26
A6-5544;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;TRUE;59
A1-3043;FCR;SMOOTH;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;23
A1-3225;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;21
A1-3807;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;47
A1-3815;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;15
A1-3219;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;TRUE;12
A1-3233;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;11
A1-3252;FCR;BOTH;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;17
A1-3498;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;40
A6-5539;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;78
A1-3805;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;20
A1-3020;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;21
A1-3159;FCR;JAGGED;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;18
A1-3195;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;27
A1-3229;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;FALSE;12
A1-3089;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;FALSE;17
A1-3253;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;17
A1-3083;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;11
A1-3019;FCR;BOTH;NA;FALSE;DISCOLORATION;TRUE;FALSE;76
A1-2933;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;78
A1-3072;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;TRUE;104
A1-3066;FCR;JAGGED;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;50
A6-5571;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;FALSE;27
A1-2934;PEBBLE;;TRUE;FALSE;DISCOLORATION;TRUE;TRUE;169
A6-5542;FCR;BOTH;FALSE;FALSE;NA;FALSE;FALSE;8
A1-2853;FCR;SMOOTH;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;52
A1-3125;FCR;JAGGED;TRUE;FALSE;NA;TRUE;FALSE;14
A6-5540;FCR;BOTH;NA;FALSE;NA;TRUE;FALSE;48
A1-3025;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;20
A1-3070;FCR;JAGGED;FALSE;TRUE;REDDENING;TRUE;FALSE;38
A1-3816;FCR;JAGGED;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;56
A1-2866;PEBBLE;;FALSE;TRUE;DISCOLORATION;TRUE;TRUE;76
A1-2861;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;41
A1-3379;FCR;BOTH;FALSE;FALSE;BOTH;TRUE;FALSE;10
A1-3068;PEBBLE;;FALSE;FALSE;REDDENING;TRUE;TRUE;77
A1-3214;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;50
A1-2846;FCR;SMOOTH;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;89
A1-3005;FCR;BOTH;TRUE;FALSE;REDDENING;TRUE;TRUE;33
A1-3031;FCR;SMOOTH;NA;FALSE;NA;TRUE;FALSE;63
A1-2864;FCR;BOTH;NA;FALSE;NA;TRUE;TRUE;108
A1-2898;FCR;JAGGED;TRUE;FALSE;NA;TRUE;TRUE;82
A1-2890;FCR;SMOOTH;NA;FALSE;NA;TRUE;TRUE;124
A1-3014;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;22
A1-2905;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;40
A6-5543;FCR;SMOOTH;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;8
A1-3009;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;85
A1-3088;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;FALSE;35
A1-3013;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;16
A1-3001;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;TRUE;78
A1-2844;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;109
A1-2917;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;49
A1-2979;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;20
A1-2930;FCR;JAGGED;FALSE;FALSE;DISCOLORATION;TRUE;TRUE;15
A1-3819;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;32
A1-2990;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;18
A1-3220;PEBBLE;;FALSE;FALSE;REDDENING;TRUE;TRUE;11
A1-2961;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;36
A1-3065;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;17
A1-3074;FCR;BOTH;NA;FALSE;REDDENING;TRUE;TRUE;49
A1-2884;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;14
A1-2859;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;6
A1-2863;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;10
A1-2885;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;43
A1-2947;PEBBLE;;FALSE;FALSE;REDDENING;FALSE;FALSE;14
A1-2889;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;4
A1-2871;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;30
A1-2862;FCR;SMOOTH;NA;FALSE;NA;TRUE;FALSE;3
A1-2946;FCR;JAGGED;NA;FALSE;NA;TRUE;TRUE;6
A1-2845;PEBBLE;;FALSE;FALSE;BOTH;TRUE;TRUE;74
A1-3000;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;24
A1-3004;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;6
A1-3038;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;13
A1-2848;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;24
A1-3076;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;18
A1-3023;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;19
A1-2980;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;49
A1-2978;PEBBLE;;FALSE;FALSE;BOTH;TRUE;TRUE;8
A1-2932;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;22
A1-2929;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;5
A1-3021;FCR;JAGGED;FALSE;FALSE;REDDENING;TRUE;FALSE;17
A1-3044;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;65
A1-3362;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;38
A1-3579;FCR;BOTH;FALSE;FALSE;REDDENING;TRUE;FALSE;17
A1-3625;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;9
A1-3584;FCR;SMOOTH;TRUE;FALSE;NA;FALSE;FALSE;8
A1-2870;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;19
A1-3063;FCR;SMOOTH;FALSE;FALSE;REDDENING;TRUE;FALSE;13
A1-3566;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;24
A1-3485;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;11
A1-3366;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;19
A1-3554;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;56
A1-3412;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;6
A1-3622;PEBBLE;;FALSE;FALSE;DISCOLORATION;TRUE;FALSE;20
A1-3549;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;25
A6-5547;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;22
A1-3360;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;24
A1-3454;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;12
A1-2888;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;21
A1-3136;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;11
A1-3162;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;19
A1-2860;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;13
A1-3008;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;44
A1-3564;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;8
A1-2867;FCR;BOTH;NA;FALSE;NA;TRUE;FALSE;15
A1-3012;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;10
A1-2906;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;2
A1-3764;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;11
A1-3464;FCR;JAGGED;FALSE;FALSE;NA;FALSE;FALSE;8
A1-2968;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;15
A1-3042;FCR;BOTH;FALSE;FALSE;NA;TRUE;TRUE;12
A1-3321;PEBBLE;;FALSE;TRUE;DISCOLORATION;TRUE;TRUE;46
A1-3478;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;8
A1-3604;PEBBLE;;TRUE;FALSE;NA;TRUE;TRUE;54
A1-3024;FCR;BOTH;NA;FALSE;NA;FALSE;FALSE;7
A1-3161;PEBBLE;;FALSE;TRUE;NA;FALSE;FALSE;14
A1-3414;PEBBLE;;TRUE;FALSE;REDDENING;TRUE;FALSE;34
A1-3003;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;14
A1-3493;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;15
A6-5548;PEBBLE;;FALSE;FALSE;NA;FALSE;FALSE;21
A6-3882;FCR;BOTH;FALSE;FALSE;NA;FALSE;FALSE;72
A6-4977;PEBBLE;;FALSE;FALSE;REDDENING;TRUE;TRUE;22
A6-4975;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;48
A6-3851;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;42
A6-3892;PEBBLE;;FALSE;FALSE;REDDENING;TRUE;FALSE;25
A6-3918;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;63914
A6-3914;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;6
A6-4916;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;TRUE;12
A6-3845;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;TRUE;21
A6-3848;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;FALSE;12
A6-4955;FCR;SMOOTH;FALSE;FALSE;REDDENING;TRUE;TRUE;156
A6-3975;FCR;BOTH;NA;FALSE;NA;FALSE;FALSE;34
A6-4015;FCR;SMOOTH;FALSE;FALSE;REDDENING;TRUE;FALSE;30
A6-4951;PEBBLE;;FALSE;FALSE;NA;TRUE;TRUE;182
A6-4926;FCR;BOTH;NA;FALSE;NA;TRUE;TRUE;47
A6-4920;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;54
A6-4954;FCR;SMOOTH;FALSE;FALSE;NA;TRUE;FALSE;81
A6-444;FCR;BOTH;FALSE;FALSE;NA;FALSE;FALSE;44
A6-4945;FCR;BOTH;FALSE;FALSE;NA;TRUE;FALSE;39
A6-4907;FCR;JAGGED;FALSE;TRUE;NA;FALSE;FALSE;24
A6-3826;PEBBLE;;FALSE;FALSE;NA;TRUE;FALSE;18
A6-4963;PEBBLE;;FALSE;FALSE;REDDENING;TRUE;TRUE;18
A1-522;FCR;JAGGED;FALSE;FALSE;NA;TRUE;FALSE;22
A1-531;FCR;JAGGED;NA;FALSE;NA;FALSE;TRUE;22
A1-521;FCR;SMOOTH;FALSE;FALSE;NA;FALSE;TRUE;29
A1-546;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;14
A1-537;FCR;JAGGED;FALSE;FALSE;NA;TRUE;TRUE;20
