ID,TYPE,FRACTURE,FINECRAZING,DEEPCRACKING,COLORCHANGES,CARBONDEPOSITION,CONCRETIONS,WEIGHT
A6-3306,FCR,SMOOTH,False,False,NA,False,False,48
A6-3302,PEBBLE,,False,False,NA,False,False,140
A6-3311,FCR,JAGGED,False,False,NA,False,False,136
A6-3319,FCR,SMOOTH,False,False,NA,False,False,49
A6-3312,FCR,JAGGED,False,True,DISCOLORATION,False,False,58
A6-3328,PEBBLE,,False,False,DISCOLORATION,False,False,59
A6-3345,PEBBLE,,False,False,DISCOLORATION,True,False,49
A6-3310,FCR,BOTH,False,False,NA,False,False,28
A6-3343,PEBBLE,,False,False,NA,False,False,109
A6-3316,PEBBLE,,False,False,NA,False,False,52
A6-3332,FCR,SMOOTH,False,False,DISCOLORATION,False,False,20
A6-3299,PEBBLE,,False,False,DISCOLORATION,False,False,47
A6-3298,FCR,SMOOTH,False,False,NA,False,False,35
A6-3336,FCR,JAGGED,False,False,DISCOLORATION,True,False,45
A6-3330,FCR,JAGGED,False,False,DISCOLORATION,True,False,13
A6-3325,PEBBLE,,False,False,DISCOLORATION,False,False,112
A6-3303,FCR,SMOOTH,False,False,DISCOLORATION,True,False,19
A6-3309,FCR,JAGGED,False,False,NA,True,False,33
A6-3329,FCR,SMOOTH,False,False,DISCOLORATION,True,False,81
A6-3337,PEBBLE,,False,False,NA,True,False,61
A6-3294,FCR,BOTH,False,False,NA,False,False,46
A6-3324,FCR,JAGGED,False,False,NA,False,False,22
A6-3320,FCR,JAGGED,False,False,NA,True,False,54
A6-3327,FCR,SMOOTH,False,False,NA,True,False,35
A6-3334,FCR,JAGGED,False,False,NA,False,False,30
A6-3335,FCR,JAGGED,False,False,NA,True,False,92
A6-3313,PEBBLE,,False,False,DISCOLORATION,False,False,28
A6-3326,PEBBLE,,False,False,DISCOLORATION,False,False,52
A6-3308,FCR,SMOOTH,False,False,NA,True,False,95
A6-3307,FCR,JAGGED,False,False,NA,False,False,50
A6-3305,FCR,SMOOTH,False,False,NA,False,False,24
A6-3323,FCR,JAGGED,False,False,NA,False,False,25
A6-3318,FCR,JAGGED,False,False,NA,True,False,36
A6-3295,FCR,JAGGED,False,False,NA,False,False,18
A6-3317,FCR,BOTH,False,False,DISCOLORATION,False,False,63
A6-3333,FCR,JAGGED,False,False,NA,False,False,38
A6-3441,FCR,JAGGED,False,False,NA,False,False,103
A6-3442,FCR,JAGGED,False,False,NA,False,False,30
A6-3379,FCR,SMOOTH,False,False,NA,True,False,119
A6-3374,PEBBLE,,False,False,NA,True,False,113
A6-3404,FCR,JAGGED,False,False,NA,True,False,38
A6-3372,FCR,JAGGED,False,False,DISCOLORATION,False,False,78
A6-3400,FCR,JAGGED,False,False,NA,True,False,30
A6-3341,FCR,JAGGED,False,False,DISCOLORATION,False,False,97
A6-3358,FCR,JAGGED,False,False,DISCOLORATION,False,False,36
A6-3378,FCR,JAGGED,False,True,NA,False,False,111
A6-3357,FCR,SMOOTH,False,False,NA,False,False,49
A6-3422,FCR,JAGGED,False,False,NA,False,False,21
A6-3351,PEBBLE,,False,False,NA,False,False,50
A6-3444,PEBBLE,,False,False,DISCOLORATION,False,False,78
A6-3395,PEBBLE,,False,False,NA,False,False,63
A6-3384,FCR,JAGGED,False,False,NA,False,False,30
A6-3419,FCR,JAGGED,False,False,NA,False,False,18
A6-3412,FCR,BOTH,False,False,NA,True,False,54
A6-3386,FCR,SMOOTH,False,False,NA,False,False,22
A6-3416,FCR,JAGGED,False,False,NA,False,False,56
A6-3428,FCR,JAGGED,False,False,NA,False,False,22
A6-3407,FCR,JAGGED,False,False,DISCOLORATION,False,False,77
A6-3354,FCR,JAGGED,False,False,NA,False,False,58
A6-3397,PEBBLE,,False,False,DISCOLORATION,True,False,51
A6-3448,FCR,JAGGED,False,False,NA,False,False,12
A6-3411,FCR,JAGGED,False,False,NA,False,False,46
A6-3353,FCR,JAGGED,False,False,DISCOLORATION,True,False,63
A6-3350,FCR,JAGGED,False,False,NA,False,False,38
A6-3414,PEBBLE,,False,False,NA,False,False,38
A6-3452,FCR,JAGGED,False,False,NA,False,False,30
A6-3421,FCR,JAGGED,False,False,NA,False,False,28
A6-3433,FCR,JAGGED,False,False,NA,False,False,18
A6-3382,PEBBLE,,False,False,NA,False,False,31
A6-3398,PEBBLE,,False,False,NA,False,False,45
A6-3447,FCR,JAGGED,False,True,NA,False,False,19
A6-3391,FCR,SMOOTH,False,False,NA,False,False,108
A6-3410,FCR,JAGGED,False,False,NA,True,False,34
A6-3429,FCR,JAGGED,False,False,NA,False,False,23
A6-3396,FCR,JAGGED,False,False,NA,False,False,30
A6-3449,FCR,JAGGED,False,False,NA,False,False,47
A6-3355,FCR,JAGGED,False,False,DISCOLORATION,False,False,89
A6-3375,FCR,JAGGED,False,False,NA,False,False,52
A6-3420,FCR,JAGGED,NA,False,NA,False,False,28
A6-3369,PEBBLE,,False,False,NA,True,False,75
A6-3450,FCR,JAGGED,False,False,NA,True,False,17
A6-3454,FCR,SMOOTH,False,False,NA,False,False,34
A6-3394,FCR,JAGGED,False,True,DISCOLORATION,False,False,22
A6-3435,FCR,JAGGED,False,False,NA,False,False,26
A6-3451,FCR,BOTH,False,False,DISCOLORATION,True,False,38
A6-3385,FCR,JAGGED,False,False,DISCOLORATION,False,False,44
A6-3381,FCR,JAGGED,False,False,NA,False,False,34
A6-3377,FCR,JAGGED,False,True,DISCOLORATION,True,False,73
A6-3425,FCR,JAGGED,False,False,NA,False,False,18
A6-3415,FCR,BOTH,False,False,NA,False,False,37
