ID,TYPE,FRACTURE,FINECRAZING,DEEPCRACKING,COLORCHANGES,CARBONDEPOSITION,CONCRETIONS,WEIGHT
A1-3817,PEBBLE,,False,False,NA,True,False,8
A1-3814,FCR,JAGGED,False,False,NA,True,False,17
A1-3801,FCR,SMOOTH,False,True,DISCOLORATION,True,False,51
A6-5603,PEBBLE,,False,False,NA,True,True,17
A1-3808,PEBBLE,,False,True,NA,True,False,24
A6-5545,FCR,SMOOTH,False,False,NA,True,False,17
A6-5541,FCR,SMOOTH,False,False,REDDENING,True,False,38
A1-3104,FCR,JAGGED,False,False,NA,True,True,15
A1-3167,FCR,JAGGED,False,False,NA,True,True,20
A1-3803,FCR,JAGGED,False,False,NA,True,True,33
A1-3812,FCR,JAGGED,NA,False,NA,True,True,20
A6-5600,PEBBLE,,False,False,DISCOLORATION,True,True,34
A6-5598,FCR,SMOOTH,NA,False,NA,True,True,9
A1-3393,FCR,JAGGED,False,False,NA,True,True,26
A6-5544,FCR,JAGGED,False,False,REDDENING,True,True,59
A1-3043,FCR,SMOOTH,False,False,DISCOLORATION,True,True,23
A1-3225,PEBBLE,,False,False,DISCOLORATION,True,False,21
A1-3807,PEBBLE,,False,False,DISCOLORATION,True,True,47
A1-3815,PEBBLE,,False,False,NA,True,False,15
A1-3219,FCR,JAGGED,False,False,REDDENING,True,True,12
A1-3233,FCR,SMOOTH,False,False,NA,True,False,11
A1-3252,FCR,BOTH,False,False,DISCOLORATION,True,False,17
A1-3498,FCR,BOTH,False,False,NA,True,True,40
A6-5539,FCR,JAGGED,False,False,NA,True,True,78
A1-3805,PEBBLE,,False,False,DISCOLORATION,True,False,20
A1-3020,PEBBLE,,False,False,DISCOLORATION,True,False,21
A1-3159,FCR,JAGGED,False,False,DISCOLORATION,True,False,18
A1-3195,FCR,BOTH,False,False,NA,True,False,27
A1-3229,FCR,JAGGED,False,False,REDDENING,True,False,12
A1-3089,FCR,JAGGED,False,False,REDDENING,True,False,17
A1-3253,FCR,SMOOTH,False,False,NA,True,False,17
A1-3083,FCR,SMOOTH,False,False,NA,True,False,11
A1-3019,FCR,BOTH,NA,False,DISCOLORATION,True,False,76
A1-2933,FCR,JAGGED,False,False,NA,True,True,78
A1-3072,FCR,SMOOTH,False,False,NA,True,True,104
A1-3066,FCR,JAGGED,False,False,DISCOLORATION,True,True,50
A6-5571,FCR,JAGGED,False,False,REDDENING,True,False,27
A1-2934,PEBBLE,,True,False,DISCOLORATION,True,True,169
A6-5542,FCR,BOTH,False,False,NA,False,False,8
A1-2853,FCR,SMOOTH,False,False,DISCOLORATION,True,True,52
A1-3125,FCR,JAGGED,True,False,NA,True,False,14
A6-5540,FCR,BOTH,NA,False,NA,True,False,48
A1-3025,FCR,JAGGED,False,False,NA,True,False,20
A1-3070,FCR,JAGGED,False,True,REDDENING,True,False,38
A1-3816,FCR,JAGGED,False,False,DISCOLORATION,True,True,56
A1-2866,PEBBLE,,False,True,DISCOLORATION,True,True,76
A1-2861,FCR,BOTH,False,False,NA,True,False,41
A1-3379,FCR,BOTH,False,False,BOTH,True,False,10
A1-3068,PEBBLE,,False,False,REDDENING,True,True,77
A1-3214,PEBBLE,,False,False,NA,True,True,50
A1-2846,FCR,SMOOTH,False,False,DISCOLORATION,True,True,89
A1-3005,FCR,BOTH,True,False,REDDENING,True,True,33
A1-3031,FCR,SMOOTH,NA,False,NA,True,False,63
A1-2864,FCR,BOTH,NA,False,NA,True,True,108
A1-2898,FCR,JAGGED,True,False,NA,True,True,82
A1-2890,FCR,SMOOTH,NA,False,NA,True,True,124
A1-3014,FCR,BOTH,False,False,NA,True,False,22
A1-2905,FCR,JAGGED,False,False,NA,True,True,40
A6-5543,FCR,SMOOTH,False,False,DISCOLORATION,True,False,8
A1-3009,PEBBLE,,False,False,NA,True,True,85
A1-3088,FCR,JAGGED,False,False,REDDENING,True,False,35
A1-3013,PEBBLE,,False,False,NA,True,False,16
A1-3001,FCR,SMOOTH,False,False,NA,True,True,78
A1-2844,FCR,JAGGED,False,False,NA,True,True,109
A1-2917,FCR,BOTH,False,False,NA,True,True,49
A1-2979,PEBBLE,,False,False,NA,True,False,20
A1-2930,FCR,JAGGED,False,False,DISCOLORATION,True,True,15
A1-3819,PEBBLE,,False,False,DISCOLORATION,True,False,32
A1-2990,FCR,SMOOTH,False,False,NA,True,False,18
A1-3220,PEBBLE,,False,False,REDDENING,True,True,11
A1-2961,FCR,JAGGED,False,False,NA,True,True,36
A1-3065,FCR,JAGGED,False,False,NA,True,False,17
A1-3074,FCR,BOTH,NA,False,REDDENING,True,True,49
A1-2884,FCR,BOTH,False,False,NA,True,False,14
A1-2859,FCR,JAGGED,False,False,NA,True,False,6
A1-2863,PEBBLE,,False,False,DISCOLORATION,True,False,10
A1-2885,FCR,JAGGED,False,False,NA,True,True,43
A1-2947,PEBBLE,,False,False,REDDENING,False,False,14
A1-2889,FCR,BOTH,False,False,NA,True,True,4
A1-2871,FCR,JAGGED,False,False,NA,True,False,30
A1-2862,FCR,SMOOTH,NA,False,NA,True,False,3
A1-2946,FCR,JAGGED,NA,False,NA,True,True,6
A1-2845,PEBBLE,,False,False,BOTH,True,True,74
A1-3000,FCR,BOTH,False,False,NA,True,True,24
A1-3004,PEBBLE,,False,False,NA,True,False,6
A1-3038,PEBBLE,,False,False,NA,True,True,13
A1-2848,PEBBLE,,False,False,NA,True,False,24
A1-3076,FCR,BOTH,False,False,NA,True,True,18
A1-3023,PEBBLE,,False,False,NA,True,False,19
A1-2980,PEBBLE,,False,False,NA,True,False,49
A1-2978,PEBBLE,,False,False,BOTH,True,True,8
A1-2932,FCR,BOTH,False,False,NA,True,True,22
A1-2929,FCR,JAGGED,False,False,NA,True,True,5
A1-3021,FCR,JAGGED,False,False,REDDENING,True,False,17
A1-3044,PEBBLE,,False,False,NA,True,True,65
A1-3362,FCR,JAGGED,False,False,NA,True,False,38
A1-3579,FCR,BOTH,False,False,REDDENING,True,False,17
A1-3625,FCR,BOTH,False,False,NA,True,False,9
A1-3584,FCR,SMOOTH,True,False,NA,False,False,8
A1-2870,PEBBLE,,False,False,NA,True,True,19
A1-3063,FCR,SMOOTH,False,False,REDDENING,True,False,13
A1-3566,PEBBLE,,False,False,NA,True,False,24
A1-3485,FCR,JAGGED,False,False,NA,True,False,11
A1-3366,FCR,BOTH,False,False,NA,True,False,19
A1-3554,PEBBLE,,False,False,NA,True,False,56
A1-3412,FCR,SMOOTH,False,False,NA,True,False,6
A1-3622,PEBBLE,,False,False,DISCOLORATION,True,False,20
A1-3549,FCR,BOTH,False,False,NA,True,False,25
A6-5547,PEBBLE,,False,False,NA,False,False,22
A1-3360,PEBBLE,,False,False,NA,True,True,24
A1-3454,FCR,JAGGED,False,False,NA,True,False,12
A1-2888,PEBBLE,,False,False,NA,True,True,21
A1-3136,FCR,BOTH,False,False,NA,True,False,11
A1-3162,FCR,SMOOTH,False,False,NA,True,False,19
A1-2860,PEBBLE,,False,False,NA,True,False,13
A1-3008,PEBBLE,,False,False,NA,True,False,44
A1-3564,FCR,SMOOTH,False,False,NA,True,False,8
A1-2867,FCR,BOTH,NA,False,NA,True,False,15
A1-3012,FCR,JAGGED,False,False,NA,False,False,10
A1-2906,PEBBLE,,False,False,NA,True,False,2
A1-3764,FCR,JAGGED,False,False,NA,True,False,11
A1-3464,FCR,JAGGED,False,False,NA,False,False,8
A1-2968,PEBBLE,,False,False,NA,False,False,15
A1-3042,FCR,BOTH,False,False,NA,True,True,12
A1-3321,PEBBLE,,False,True,DISCOLORATION,True,True,46
A1-3478,FCR,JAGGED,False,False,NA,True,False,8
A1-3604,PEBBLE,,True,False,NA,True,True,54
A1-3024,FCR,BOTH,NA,False,NA,False,False,7
A1-3161,PEBBLE,,False,True,NA,False,False,14
A1-3414,PEBBLE,,True,False,REDDENING,True,False,34
A1-3003,PEBBLE,,False,False,NA,True,False,14
A1-3493,PEBBLE,,False,False,NA,False,False,15
A6-5548,PEBBLE,,False,False,NA,False,False,21
A6-3882,FCR,BOTH,False,False,NA,False,False,72
A6-4977,PEBBLE,,False,False,REDDENING,True,True,22
A6-4975,FCR,SMOOTH,False,False,NA,True,False,48
A6-3851,PEBBLE,,False,False,NA,True,False,42
A6-3892,PEBBLE,,False,False,REDDENING,True,False,25
A6-3918,PEBBLE,,False,False,NA,True,False,63914
A6-3914,FCR,SMOOTH,False,False,NA,True,False,6
A6-4916,FCR,SMOOTH,False,False,NA,False,True,12
A6-3845,FCR,SMOOTH,False,False,NA,True,True,21
A6-3848,FCR,SMOOTH,False,False,NA,False,False,12
A6-4955,FCR,SMOOTH,False,False,REDDENING,True,True,156
A6-3975,FCR,BOTH,NA,False,NA,False,False,34
A6-4015,FCR,SMOOTH,False,False,REDDENING,True,False,30
A6-4951,PEBBLE,,False,False,NA,True,True,182
A6-4926,FCR,BOTH,NA,False,NA,True,True,47
A6-4920,FCR,JAGGED,False,False,NA,True,False,54
A6-4954,FCR,SMOOTH,False,False,NA,True,False,81
A6-444,FCR,BOTH,False,False,NA,False,False,44
A6-4945,FCR,BOTH,False,False,NA,True,False,39
A6-4907,FCR,JAGGED,False,True,NA,False,False,24
A6-3826,PEBBLE,,False,False,NA,True,False,18
A6-4963,PEBBLE,,False,False,REDDENING,True,True,18
A1-522,FCR,JAGGED,False,False,NA,True,False,22
A1-531,FCR,JAGGED,NA,False,NA,False,True,22
A1-521,FCR,SMOOTH,False,False,NA,False,True,29
A1-546,FCR,JAGGED,False,False,NA,True,True,14
A1-537,FCR,JAGGED,False,False,NA,True,True,20
A1-536,FCR,JAGGED,False,False,REDDENING,False,True,29
A1-542,FCR,JAGGED,False,False,NA,True,True,78
A1-544,FCR,JAGGED,False,False,NA,True,True,82
A1-534,PEBBLE,,False,False,NA,False,True,19
A1-528,FCR,JAGGED,False,False,NA,False,True,19
A1-538,PEBBLE,,False,False,NA,False,True,19
A1-469,FCR,JAGGED,False,False,NA,False,False,11
A1-484,PEBBLE,,False,False,DISCOLORATION,True,False,144
A1-468,PEBBLE,,False,False,NA,True,False,14
A1-449,FCR,JAGGED,False,False,NA,True,False,23
A1-517,PEBBLE,,False,False,NA,False,True,35
A1-452,PEBBLE,,False,False,NA,False,True,14
A1-476,PEBBLE,,False,False,NA,True,False,11
A1-466,PEBBLE,,False,False,NA,False,True,20
A1-488,PEBBLE,,False,False,NA,False,False,19
A1-512,PEBBLE,,NA,False,NA,False,True,67
A1-515,PEBBLE,,NA,False,NA,False,True,28
A1-458,PEBBLE,,NA,False,NA,False,True,127
A1-470,FCR,SMOOTH,False,False,DISCOLORATION,True,False,21
A1-477,FCR,JAGGED,False,False,NA,True,False,43
A1-502,PEBBLE,,False,False,NA,True,True,72
A1-450,PEBBLE,,False,False,NA,True,True,30
A1-457,PEBBLE,,False,False,NA,True,True,60
A1-491,PEBBLE,,False,False,NA,False,False,31
A1-490,FCR,SMOOTH,False,False,NA,True,True,31
A1-478,PEBBLE,,False,False,NA,True,True,103
A1-480,FCR,JAGGED,False,False,NA,True,False,19
A1-487,PEBBLE,,False,False,NA,True,True,111
A1-460,FCR,BOTH,NA,False,NA,True,True,34
A1-465,FCR,SMOOTH,False,False,NA,True,False,21
A1-474,FCR,BOTH,NA,False,NA,False,True,11
A1-483,PEBBLE,,False,False,NA,True,True,113
A1-455,FCR,JAGGED,False,False,NA,True,True,29
A1-443,PEBBLE,,False,False,NA,False,True,66
A1-462,PEBBLE,,False,False,NA,True,True,65
A1-493,PEBBLE,,False,False,NA,False,True,39
A1-509,FCR,SMOOTH,NA,False,NA,False,True,30
A6-2739,PEBBLE,,False,False,NA,True,False,16
A6-2742,PEBBLE,,False,False,NA,True,False,31
A6-2745,FCR,JAGGED,False,False,NA,False,False,17
A6-2741,PEBBLE,,False,False,NA,False,True,140
A6-2714,PEBBLE,,False,False,NA,False,False,33
A6-2734,FCR,JAGGED,False,False,NA,False,False,22
A6-2722,FCR,JAGGED,False,False,NA,False,False,10
A6-2731,FCR,SMOOTH,False,False,NA,False,False,14
A6-2746,FCR,SMOOTH,False,False,NA,False,False,26
A6-2733,FCR,BOTH,NA,False,DISCOLORATION,False,False,28
A6-2744,FCR,BOTH,NA,False,NA,False,False,31
L6-258,FCR,SMOOTH,False,False,NA,False,False,30
L6-299,FCR,SMOOTH,False,False,NA,False,False,23
F4-660,FCR,SMOOTH,False,False,NA,False,False,21
F4-638,FCR,JAGGED,False,False,NA,False,False,72
F4-653,FCR,JAGGED,False,False,NA,False,True,20
A6-1366,FCR,JAGGED,False,False,NA,False,False,7
A6-1393,FCR,BOTH,NA,False,NA,False,False,15
A6-1370,FCR,SMOOTH,False,False,NA,False,False,41
A1-311,PEBBLE,,False,False,NA,False,True,38
A1-337,FCR,JAGGED,False,False,NA,False,False,103
A6-1324,FCR,SMOOTH,False,False,DISCOLORATION,False,False,30
A1-287,FCR,SMOOTH,False,False,NA,False,False,91
A6-1448,FCR,JAGGED,False,False,NA,False,False,24
A6-1307,FCR,BOTH,NA,False,REDDENING,False,False,97
A6-143,FCR,BOTH,NA,False,NA,False,False,8
A6-1377,FCR,JAGGED,NA,False,NA,False,False,88
A1-295,PEBBLE,,False,False,DISCOLORATION,False,False,18
L6-309,FCR,SMOOTH,NA,False,DISCOLORATION,False,True,26
L6-266,FCR,BOTH,False,False,NA,False,False,12
