ID,WEIGHT
A1-3791,21
A6-3296,38
A6-3331,45
A6-3342,103
A6-3344,63
A6-3346,98
A6-3347,74
A6-3352,65
A6-3356,43
A6-3360,33
A6-3361,45
A6-3364,132
A6-3365,61
A6-3366,46
A6-3367,70
A6-3371,200
A6-3373,62
A6-3380,89
A6-3408,40
A6-3427,108
A6-3431,26
A6-3432,39
A6-3434,92
A6-3436,37
A6-3439,54
A6-3440,78
A6-3455,54
A1-1000,138
A1-1001,36
A1-1002,26
A1-1003,18
A1-1004,44
A1-1005,40
A1-1006,136
A1-1007,21
A1-1008,43
A1-1009,45
A1-1010,65
A1-1011,28
A1-1012,72
A1-1013,35
A1-1014,23
A1-1015,98
A1-1016,70
A1-1017,49
A1-1018,36
A1-1019,127
A1-1022,16
A1-1023,33
A1-1024,13
A1-1025,44
A1-1026,216
A1-1027,52
A1-1028,154
A1-1029,2
A1-1030,28
A1-1031,186
A1-1032,8
A1-1033,76
A1-1034,12
A1-1036,25
A1-1037,120
A1-1039,32
A1-1040,28
A1-1043,19
A1-1046,18
A1-1050,20
A1-1051,26
A1-1052,14
A1-1053,34
A1-1055,11
A1-1056,16
A1-1057,21
A1-1058,37
A1-1059,25
A1-1060,21
A1-1061,60
A1-1062,33
A1-1063,61
A1-1072,15
A1-1073,90
A1-1074,42
A1-1075,25
A1-1076,32
A1-1080,18
A1-1082,71
A1-1083,11
A1-1084,28
A1-1085,18
A1-1086,31
A1-1087,33
A1-1088,38
A1-1089,75
A1-1090,8
A1-1091,21
A1-1094,26
A1-1095,57
A1-1097,11
A1-1098,57
A1-1101,32
A1-1103,7
A1-1104,11
A1-1105,27
A1-1110,81
A1-1111,63
A1-1112,12
A1-1113,62
A1-1114,59
A1-1115,103
A1-1116,26
A1-1118,34
A1-1119,46
A1-1120,28
A1-1121,55
A1-1122,16
A1-1123,9
A1-1124,19
A1-1126,12
A1-1127,44
A1-1128,230
A1-1129,19
A1-1130,137
A1-1132,49
A1-1133,65
A1-1134,15
A1-1135,31
A1-1137,43
A1-1138,19
