SITE;LOT;LAYER;ID;RAWMATERIAL;QUARTZQUALITY;CLASS;COREPREPARPROD;RETOUCHEDPIECEBLANK;PIECECOMPLETENESS;CORTEX;CORTEXLOCATION;CORTEXTYPE;PLATFORMTYPE;PLATFORMCORTEX;LIPPING;BLANKSHAPE;CROSSSECTION;BLANKTIP;PROFILE;SCARCOUNT;SCARPATTERN;THICKNESS;MAXWIDTH;PROXWIDTH;MEDWIDTH;DISTWIDTH;LENGTH;PLATFORMTHICKNESS;PLATFORMWIDTH;EXTERIORPLATFORMANGLE;WEIGHT;CORETYPE;CORECROSSSECTION;NUMBERCOREFACES;COREPLATFORM;COREDISTALTREATMENT;CORELEFTTREATMENT;CORERIGHTTREATMENT;COREBACKTREATMENT;MAINFACECORTEX;MAINFACESCARCOUNT;MAINFACESCARDIRECTION;MAINFACEARISORIENTATION;MAINFACESCARLENGTH;MAINFACESCARMAXWIDTH;MAINFACESCARPROXWIDTH;MAINFACESCARMEDWIDTH;MAINFACESCARDISTWIDTH;MAINFACEPLATFORMANGLE;MAINFACECOREUSE;DISTALFACECORTEX;DISTALFACESCARCOUNT;DISTALFACESCARDIRECTION;DISTALFACEARISORIENTATION;DISTALFACECOREUSE;LEFTFACECORTEX;LEFTFACESCARCOUNT;LEFTFACESCARDIRECTION;LEFTFACEARISORIENTATION;LEFTFACECOREUSE;RIGHTFACECORTEX;RIGHTFACESCARCOUNT;RIGHTFACESCARDIRECTION;RIGHTFACEARISORIENTATION;RIGHTFACECOREUSE;BACKFACECORTEX;BACKFACESCARCOUNT;BACKFACESCARDIRECTION;BACKFACEARISORIENTATION;BACKFACECOREUSE;COREABANDON;ALTERATION;FIRE;EDGEDAMAGE;RETOUCHEDPIECETYPOLOGY;CHIPQUANTITY;RMTYPE;OTHERNOTES
CAM;;PIT1;B6-1413;Quartz;Fine;ElongBlank;;;;61-99%;RightLateral;Cobble;Plain;No;No;Parallel;Triangular;Hinge;Curved;2;Unidirectional;5,17;6,56;4,72;5,78;4,63;20,39;2,51;4,82;84,7;0,7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1423;Chert;;Flake;;;;1-30%;RightLateral;Outcrop;Crushed;No;No;Divergent;Triangular;Step;Curved;2;Unidirectional;4,86;27,22;12,89;26,79;26,75;28,11;15,2;13,26;101,4;3,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;Yes;;;;
CAM;;PIT1;B6-1439;Quartz;Fine;ElongBlankFrag;;;Proximal;0%;;;Plain;No;No;;Triangular;;;2;;3;5,71;;;;;2,76;5,65;94;0;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1325;Quartz;RockCrystal;Core;;;;1-30%;;Cobble;;YesPartial;No;;;;;;;20,8;21,49;21,46;22,5;19,1;17,75;20,72;23,34;86,4;11,4;SinglePlat;Quadrangular;Four;Plain;Crest;FlakingSurface;Cortical;Cortical;0%;2;Unidirectional;Parallel;16,34;13,67;10,79;13,28;8,71;92,6;Flakes;;;;;;0%;2;Unidirectional;Parallel;Flakes;;;;;;;;;;;NoReason;None;;;;;;
CAM;;PIT1;B6-1320;Quartz;Fine;Flake;;;;31-60%;LeftLateral;Cobble;Other;No;No;Irregular;Irregular;Step;Straight;2;Crossed;8,06;25,4;20,07;25,36;17,01;17,44;5,97;20,16;97,6;4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1218;Quartz;Fine;Flake;;;;1-30%;Distal;Cobble;Crushed;No;No;Divergent;Irregular;Feather;Curved;3;Unidirectional;5,78;29,65;13,38;26,27;27,81;31,47;4,01;13,22;106,2;7;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;Concretion;;No;;;;
CAM;;PIT1;B6-1197;Quartzite;;Flake;;;;0%;;;Plain;YesComplete;No;Irregular;Lenticular;Feather;Straight;2;Unidirectional;3,88;18,26;10,4;18,44;12,2;32,24;7,36;8,88;74,7;2,8;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1210;Quartz;Fine;Flake;;;;100%;;Cobble;Crushed;No;No;Divergent;Other;Hinge;Straight;0;None;5,75;13,88;9,14;12,92;12,94;24,77;2,08;8,15;93,8;2,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1322;Quartzite;;Flake;;;;0%;;;Crushed;No;No;Irregular;Triangular;Feather;Straight;2;Unidirectional;4,93;18,51;14,06;14,45;10,58;35,26;3,09;12,88;96,7;3,4;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
CAM;;PIT1;B6-1201;Chert;;Flake;;;;31-60%;LeftLateral;Cobble;Plain;YesPartial;Yes;Parallel;Triangular;Hinge;Curved;3;BidirectionalOpposed;8,26;19,63;14,92;19,52;16,31;28,03;8;15,24;85,5;4,9;;;;;;;;;;0;;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;None;;No;;;;
